id_vente,id_client,id_produit,date_vente,quantite,prix_paye
75,209,109,2024-12-05,1,482.64
76,489,112,2024-12-20,2,332.67
77,66,128,2025-04-24,1,384.68
78,488,15,2024-12-01,1,206.74
79,321,74,2024-11-29,2,488.38
80,64,7,2024-09-11,1,303.12
81,27,55,2024-11-27,1,526.4
82,89,29,2024-09-02,1,58.54
83,55,33,2025-03-01,1,121.24
84,473,57,2025-03-04,1,349.1
85,182,93,2025-05-22,1,575.84
86,437,103,2024-12-31,1,296.39
87,413,33,2024-11-21,1,121.24
88,202,17,2024-12-18,2,62.02
89,461,120,2025-06-15,1,556.25
90,175,74,2025-07-06,1,488.38
91,481,91,2025-06-26,1,73.18
92,96,127,2025-03-25,1,179.33
93,348,16,2024-12-12,1,412.27
94,181,21,2024-11-17,2,199.22
95,191,17,2025-02-11,1,62.02
96,241,27,2025-03-04,1,520.9
97,111,92,2024-09-11,1,213.89
98,127,103,2025-05-04,1,296.39
99,281,45,2025-01-27,1,53.21
100,31,26,2025-06-30,1,80.28
101,346,46,2024-11-11,1,429.28
102,215,59,2025-06-15,2,122.16
103,64,17,2024-10-04,1,62.02
104,125,24,2024-11-20,2,563.43
105,494,25,2024-12-10,1,485.62
106,23,110,2024-10-25,1,152.47
107,357,64,2025-02-09,1,312.23
108,370,86,2024-11-10,1,118.49
109,60,99,2024-12-03,1,208.73
110,431,100,2025-04-08,1,229.29
111,60,15,2025-03-11,1,206.74
112,191,29,2024-12-17,1,58.54
113,44,130,2025-03-27,1,499.34
114,320,50,2025-05-31,1,98.91
115,437,115,2024-12-04,1,281.46
116,185,123,2024-09-14,1,79.03
117,61,18,2025-03-19,1,102.42
118,250,118,2025-01-14,1,319.7
119,362,139,2024-11-17,1,224.44
120,266,78,2024-12-11,1,334.81
121,345,25,2024-12-20,1,485.62
122,366,48,2024-09-13,1,478.84
123,86,50,2024-12-02,1,98.91
124,453,78,2024-09-17,1,334.81
125,111,101,2025-04-29,1,15.78
126,161,81,2025-05-09,1,196.15
127,249,67,2025-01-04,2,331.31
128,287,66,2025-01-09,1,198.33
129,294,81,2025-07-20,1,261.53
130,58,142,2024-11-19,1,274.55
131,413,70,2024-12-20,1,300.47
132,70,82,2024-12-30,1,283.53
133,52,102,2024-10-31,1,582.99
134,474,24,2024-12-19,1,563.43
135,436,57,2025-04-09,2,349.1
136,305,139,2025-03-29,1,224.44
137,49,93,2025-01-22,2,575.84
138,233,24,2024-08-27,1,563.43
139,453,53,2025-04-02,1,487.84
140,179,5,2024-09-03,1,287.24
141,145,72,2025-07-18,1,246.7
142,190,37,2025-01-03,1,226.59
143,360,92,2024-12-06,1,213.89
144,191,53,2025-06-13,1,487.84
145,499,108,2025-04-25,1,182.24
146,290,67,2025-03-15,1,331.31
147,193,148,2024-11-15,1,543.51
148,180,104,2024-12-14,2,235.06
149,454,110,2024-10-20,1,152.47
150,370,9,2025-05-10,1,719.54
151,302,48,2024-12-28,1,478.84
152,8,78,2024-12-26,1,334.81
153,224,119,2024-12-14,1,393.46
154,171,74,2024-11-10,1,488.38
155,272,28,2025-05-06,1,213.35
156,431,138,2024-10-12,1,382.16
157,255,101,2025-03-13,2,15.78
158,436,2,2025-07-19,1,18.99
159,444,123,2025-03-13,1,79.03
160,469,2,2024-08-14,1,18.99
161,430,101,2025-05-23,1,15.78
162,302,6,2024-10-29,1,120.34
163,426,147,2025-06-30,1,363.91
164,37,33,2024-12-21,1,121.24
165,76,17,2025-05-27,1,62.02
166,490,98,2025-03-29,1,81.7
167,380,54,2025-01-18,2,349.2
168,451,46,2025-01-16,1,429.28
169,358,39,2025-04-11,1,578.5
170,395,38,2025-05-09,22,455.18
171,243,92,2024-09-15,1,213.89
172,258,127,2025-01-13,1,179.33
173,258,52,2025-05-05,1,225.66
174,167,33,2024-08-28,2,121.24
175,366,149,2024-08-27,1,429.45
176,46,6,2025-05-09,1,120.34
177,247,65,2024-12-26,1,135.17
178,214,136,2025-07-30,1,82.14
179,482,139,2025-05-10,1,224.44
180,31,11,2025-02-25,1,16.25
181,144,53,2024-09-28,1,487.84
182,380,104,2024-10-18,1,235.06
183,389,30,2024-12-28,1,442.18
184,55,102,2024-12-18,1,582.99
185,209,80,2024-12-03,2,189.8
186,207,58,2024-10-14,1,440.25
187,6,140,2025-06-03,1,238.53
188,82,106,2024-12-20,1,330.68
189,219,98,2025-03-01,2,81.7
190,342,36,2025-04-17,1,91.26
191,461,130,2024-08-02,1,499.34
192,223,28,2024-12-31,1,213.35
193,318,33,2025-01-24,1,121.24
194,338,23,2025-05-06,2,113.32
195,463,91,2025-07-24,1,73.18
196,363,109,2025-02-13,1,482.64
197,490,107,2025-02-27,1,68.9
198,98,43,2025-02-12,1,418.43
199,133,71,2024-10-04,1,320.91
200,276,109,2025-05-30,1,482.64
201,429,86,2025-03-14,1,118.49
202,207,91,2025-03-22,1,73.18
203,75,112,2024-10-13,1,332.67
204,437,136,2024-09-08,1,82.14
205,439,113,2024-12-14,1,440.12
206,408,114,2024-11-29,2,647.69
207,35,19,2024-12-26,1,90.14
208,18,38,2024-09-16,1,455.18
209,477,90,2025-03-16,1,456.59
210,111,145,2024-08-24,1,96.4
211,166,140,2024-08-29,1,238.53
212,373,6,2025-02-08,3,120.34
213,225,62,2024-12-04,1,26.71
214,194,89,2024-11-01,1,211.17
215,293,86,2024-12-02,1,118.49
216,135,121,2025-05-26,1,538.87
217,394,148,2025-03-24,1,543.51
218,60,46,2024-09-07,1,429.28
219,135,20,2025-04-05,1,636.49
220,295,75,2025-05-22,1,137.49
221,215,123,2025-07-25,1,79.03
222,435,122,2024-12-25,1,230.92
223,168,46,2024-11-26,1,429.28
224,37,131,2025-01-28,1,625.36
225,346,113,2024-11-06,1,440.12
226,346,17,2024-10-07,2,62.02
227,235,146,2024-12-30,2,343.96
228,181,62,2025-03-01,2,26.71
229,391,138,2024-12-18,1,382.16
230,408,34,2024-12-10,1,333.49
231,313,104,2024-12-30,1,235.06
232,64,19,2024-11-24,1,90.14
233,183,64,2025-05-13,1,312.23
234,107,146,2025-02-19,1,343.96
235,431,113,2025-05-02,1,440.12
236,160,110,2025-07-11,1,152.47
237,195,21,2025-02-07,1,199.22
238,190,25,2024-11-28,1,485.62
239,258,93,2025-05-15,1,575.84
240,45,122,2025-06-09,1,230.92
241,24,35,2024-09-29,1,401.85
242,394,141,2024-08-20,2,489.58
243,346,88,2025-04-10,1,288.97
244,436,75,2024-11-29,1,137.49
245,124,141,2024-10-09,1,489.58
246,113,57,2025-07-02,1,349.1
247,120,75,2024-12-22,1,137.49
248,487,77,2025-02-06,2,516.83
249,370,124,2025-02-02,1,209.47
250,188,77,2025-06-27,2,516.83
251,123,61,2025-02-20,1,131.98
252,468,70,2025-03-21,1,300.47
253,36,19,2024-11-17,1,90.14
254,492,57,2024-12-03,2,349.1
255,146,127,2025-05-17,1,179.33
256,129,10,2025-05-11,1,394.66
257,175,77,2024-11-19,1,516.83
258,159,31,2024-11-28,1,180.09
259,31,93,2025-06-02,1,575.84
260,451,145,2025-05-04,1,96.4
261,104,86,2024-10-29,1,118.49
262,181,149,2024-08-14,1,429.45
263,194,89,2024-11-30,1,211.17
264,272,14,2024-08-09,1,348.48
265,320,46,2024-08-27,1,429.28
266,467,84,2024-09-02,1,338.34
267,468,131,2024-09-25,2,625.36
268,477,79,2024-08-16,2,135.77
269,242,150,2025-03-16,1,398.03
270,227,33,2024-09-11,1,121.24
271,134,121,2024-10-15,1,538.87
272,161,115,2024-12-19,2,281.46
273,383,48,2025-05-27,2,383.07
274,22,145,2025-01-14,1,96.4
275,272,87,2025-06-02,1,40.12
276,414,121,2025-03-09,1,538.87
277,140,124,2025-07-26,1,209.47
278,473,43,2024-11-19,1,418.43
279,49,37,2024-11-25,1,226.59
280,53,22,2025-03-21,1,163.49
281,293,79,2024-09-18,1,135.77
282,369,102,2024-09-04,1,582.99
283,234,106,2024-09-13,1,330.68
284,492,11,2025-05-12,1,16.25
285,378,139,2025-07-10,1,224.44
286,271,141,2025-06-04,1,489.58
287,321,128,2024-11-17,1,384.68
288,139,10,2025-04-04,1,394.66
289,386,3,2024-09-25,1,217.96
290,353,56,2025-05-12,1,443.42
291,205,116,2024-12-21,1,105.33
292,106,57,2025-07-22,2,349.1
293,49,146,2024-11-01,1,343.96
294,203,2,2025-01-27,1,18.99
295,209,71,2024-10-13,1,320.91
296,70,139,2025-02-22,1,224.44
297,182,130,2024-11-19,1,499.34
298,408,149,2025-03-21,1,429.45
299,173,22,2025-02-06,1,163.49
300,405,126,2024-08-27,1,217.72
301,415,24,2025-06-13,1,563.43
302,286,24,2024-09-11,1,563.43
303,449,80,2025-06-07,1,189.8
304,449,75,2024-12-18,2,137.49
305,164,81,2025-04-20,1,261.53
306,190,29,2025-03-09,1,58.54
307,40,142,2025-01-05,1,274.55
308,155,32,2024-08-29,1,294.11
309,364,129,2024-12-27,1,435.24
310,415,130,2025-03-09,1,499.34
311,19,52,2024-11-26,1,225.66
312,202,110,2024-09-06,1,152.47
313,469,53,2025-05-21,1,487.84
314,121,45,2025-06-24,1,53.21
315,123,150,2024-09-28,1,468.27
316,68,134,2025-01-14,1,524.84
317,217,7,2025-06-13,1,303.12
318,293,115,2024-09-15,1,281.46
319,426,125,2024-09-24,1,300.73
320,49,62,2025-05-29,1,26.71
321,272,66,2024-09-10,1,198.33
322,224,82,2024-11-22,1,283.53
323,208,132,2024-10-26,1,208.38
324,360,146,2025-06-21,2,343.96
325,217,33,2025-04-19,1,121.24
326,402,35,2025-01-26,2,401.85
327,230,65,2024-11-29,2,135.17
328,216,111,2024-12-10,3,438.69
329,202,105,2025-06-05,1,205.64
330,253,71,2025-07-02,1,192.55
331,489,105,2025-06-18,1,205.64
332,463,9,2025-06-16,1,719.54
333,153,51,2025-06-18,1,383.07
334,37,62,2025-03-14,2,26.71
335,494,79,2024-12-19,1,135.77
336,155,85,2025-01-06,2,339.74
337,320,51,2024-08-20,1,383.07
338,374,29,2024-12-25,1,58.54
339,293,1,2025-04-17,1,335.74
340,242,132,2025-05-25,1,208.38
341,200,87,2025-04-14,2,40.12
342,413,33,2024-09-01,1,121.24
343,425,84,2024-09-13,1,338.34
344,167,80,2024-10-28,1,189.8
345,137,23,2025-06-09,1,113.32
346,52,113,2025-02-15,1,440.12
347,290,28,2025-06-28,1,213.35
348,225,123,2025-01-16,1,79.03
349,422,10,2024-12-08,1,394.66
350,281,30,2025-01-18,1,442.18
351,339,48,2025-07-06,1,478.84
352,68,132,2025-01-27,1,208.38
353,472,131,2025-02-17,1,625.36
354,232,34,2025-04-06,2,333.49
355,490,70,2024-10-10,1,300.47
356,35,32,2024-12-30,1,294.11
357,343,72,2024-09-21,2,246.7
358,49,53,2025-04-27,1,487.84
359,471,69,2025-06-13,1,186.83
360,188,123,2025-02-09,1,79.03
361,156,148,2024-11-01,2,543.51
362,95,74,2025-03-18,1,488.38
363,251,110,2024-12-01,1,152.47
364,208,68,2024-11-08,1,295.67
365,200,90,2024-11-11,1,456.59
366,194,19,2024-12-24,1,90.14
367,14,63,2024-10-22,1,341.84
368,373,104,2025-04-20,1,235.06
369,190,56,2025-03-12,2,443.42
370,486,26,2024-11-22,1,80.28
371,109,47,2025-03-01,1,87.46
372,101,144,2025-04-15,1,183.68
373,143,31,2025-02-08,1,211.87
374,176,59,2025-06-29,1,122.16
375,107,96,2024-10-14,1,65.11
376,359,105,2024-12-25,1,205.64
377,42,132,2025-03-29,1,208.38
378,478,75,2024-08-10,2,137.49
379,55,145,2024-10-16,1,96.4
380,247,29,2025-06-08,2,58.54
381,193,54,2024-11-30,1,349.2
382,60,128,2024-08-25,1,384.68
383,232,19,2025-03-23,2,90.14
384,316,3,2025-05-22,1,217.96
385,31,145,2024-10-13,1,96.4
386,191,94,2024-12-02,1,512.02
387,495,139,2024-11-04,2,224.44
388,327,110,2024-09-13,1,152.47
389,191,102,2025-02-01,1,582.99
390,471,91,2025-02-08,1,73.18
391,282,68,2024-09-04,1,295.67
392,331,4,2025-01-18,1,510.73
393,354,102,2025-06-26,1,582.99
394,249,58,2024-11-02,1,440.25
395,481,77,2025-03-23,1,516.83
396,286,66,2024-11-12,1,198.33
397,165,58,2024-11-11,1,440.25
398,264,112,2025-04-21,1,332.67
399,283,145,2025-05-06,2,96.4
400,81,47,2024-11-06,1,87.46
401,385,43,2025-01-17,1,418.43
402,5,12,2025-02-05,2,261.78
403,322,59,2025-02-14,1,122.16
404,358,49,2024-11-04,1,77.56
405,200,76,2025-04-12,1,398.3
406,159,23,2025-04-23,1,113.32
407,185,62,2024-09-10,1,26.71
408,60,46,2024-11-01,1,429.28
409,324,75,2025-01-12,1,137.49
410,191,52,2025-01-04,1,225.66
411,24,66,2025-03-07,1,198.33
412,364,25,2025-03-16,1,485.62
413,436,87,2025-03-11,2,40.12
414,25,8,2024-08-30,1,62.79
415,23,116,2025-06-23,1,105.33
416,178,131,2025-07-14,1,625.36
417,469,105,2024-08-16,1,205.64
418,360,111,2025-03-13,1,438.69
419,335,113,2024-09-04,1,440.12
420,349,120,2025-06-27,1,556.25
421,263,101,2025-02-06,1,15.78
422,343,131,2025-04-29,1,625.36
423,95,130,2024-12-06,1,499.34
424,16,144,2025-05-15,1,183.68
425,45,51,2024-12-12,2,383.07
426,121,100,2024-12-25,1,229.29
427,487,137,2025-04-09,1,63.66
428,201,44,2025-03-20,3,392.03
429,193,128,2025-07-30,1,384.68
430,140,109,2025-05-05,1,482.64
431,431,146,2024-10-11,3,343.96
432,84,63,2025-04-10,1,341.84
433,398,25,2025-05-10,1,364.22
434,13,50,2024-09-14,2,98.91
435,193,116,2024-09-07,1,105.33
436,407,25,2025-03-19,1,485.62
437,427,105,2025-04-22,2,205.64
438,233,118,2024-11-02,1,319.7
439,452,130,2024-10-06,1,499.34
440,458,89,2025-04-23,2,211.17
441,256,14,2024-10-24,1,348.48
442,220,143,2025-07-30,1,385.7
443,241,27,2024-09-10,2,520.9
444,257,72,2024-12-19,1,246.7
445,314,117,2024-09-17,1,445.78
446,103,128,2024-10-26,2,384.68
447,449,90,2025-05-25,1,456.59
448,175,116,2025-06-06,1,105.33
449,233,124,2025-05-16,1,209.47
450,293,11,2024-08-15,1,16.25
451,165,41,2024-12-14,3,189.78
452,232,128,2025-05-20,1,384.68
453,64,138,2025-06-24,1,382.16
454,430,38,2025-06-18,1,455.18
455,490,53,2025-04-05,3,487.84
456,375,54,2025-03-21,1,349.2
457,38,58,2024-08-31,1,440.25
458,260,39,2025-03-01,1,578.5
459,114,67,2024-11-13,1,331.31
460,107,52,2024-10-13,1,225.66
461,166,137,2025-01-11,1,63.66
462,357,23,2024-10-02,2,113.32
463,61,44,2024-12-05,1,392.03
464,291,16,2024-08-26,1,412.27
465,231,107,2025-03-03,1,68.9
466,463,72,2024-11-06,1,246.7
467,91,32,2025-03-28,1,294.11
468,465,109,2025-01-05,1,482.64
469,341,13,2025-04-16,1,379.07
470,331,21,2024-12-02,1,199.22
471,144,121,2025-01-28,1,538.87
472,386,6,2024-12-23,1,120.34
473,44,32,2024-12-25,1,294.11
474,54,118,2024-09-25,1,319.7
475,291,147,2024-12-14,1,363.91
476,224,73,2025-02-23,1,488.92
477,370,26,2025-02-22,2,80.28
478,242,73,2025-05-15,1,488.92
479,314,78,2025-05-11,1,334.81
480,129,13,2025-05-09,1,379.07
481,177,149,2024-09-30,1,429.45
482,51,26,2024-09-19,2,80.28
483,330,82,2024-11-10,1,283.53
484,242,17,2024-08-24,3,62.02
485,70,123,2025-04-23,1,79.03
486,121,67,2024-10-11,1,331.31
487,191,26,2025-06-10,2,80.28
488,60,146,2025-04-30,1,343.96
489,100,103,2025-05-16,2,296.39
490,143,51,2025-07-11,1,383.07
491,144,83,2025-06-02,1,296.51
492,70,138,2024-10-27,1,382.16
493,463,83,2025-02-11,1,296.51
494,135,31,2025-07-15,1,211.87
495,478,23,2024-09-26,1,113.32
496,247,38,2025-03-14,1,455.18
497,54,69,2024-10-17,1,186.83
498,474,47,2024-11-13,2,87.46
499,132,139,2025-04-23,1,224.44
500,490,92,2025-07-21,2,213.89
501,441,4,2025-04-05,1,510.73
502,177,43,2024-12-05,1,418.43
503,218,124,2024-12-31,1,209.47
504,452,60,2024-12-31,1,190.26
505,352,14,2025-07-27,1,348.48
506,216,24,2025-04-03,1,563.43
507,17,100,2024-12-19,1,229.29
508,155,91,2024-10-14,1,73.18
509,264,65,2024-12-26,1,135.17
510,438,1,2024-09-10,1,335.74
511,469,139,2025-04-03,1,224.44
512,274,56,2025-05-03,1,443.42
513,364,141,2024-10-10,1,489.58
514,170,129,2025-05-28,1,435.24
515,1,56,2025-04-29,1,443.42
516,45,91,2024-11-28,1,73.18
517,234,122,2025-02-28,1,230.92
518,489,64,2025-03-30,1,312.23
519,215,81,2024-10-10,1,261.53
520,50,1,2024-10-20,3,335.74
521,334,25,2025-04-01,1,485.62
522,75,101,2024-11-11,1,15.78
523,243,48,2024-12-26,1,478.84
524,481,65,2025-06-27,1,135.17
525,488,134,2024-11-27,1,524.84
526,239,131,2024-10-29,1,625.36
527,236,2,2024-12-27,1,18.99
528,317,110,2024-08-05,1,152.47
529,452,76,2025-06-05,1,398.3
530,140,43,2025-01-19,1,418.43
531,402,37,2025-06-25,2,226.59
532,259,80,2025-03-28,1,189.8
533,4,24,2024-09-27,3,563.43
534,24,94,2024-11-04,1,384.02
535,168,145,2024-11-07,1,96.4
536,202,15,2024-09-14,1,206.74
537,107,74,2024-09-18,1,488.38
538,126,12,2024-10-11,1,261.78
539,115,61,2024-12-06,1,131.98
540,125,135,2025-02-13,2,416.04
541,107,112,2024-12-15,1,332.67
542,428,119,2025-05-21,1,524.61
543,250,105,2024-11-29,20,205.64
544,343,112,2024-09-30,2,332.67
545,172,113,2024-10-21,1,440.12
546,91,121,2025-07-20,1,538.87
547,498,150,2024-12-30,1,468.27
548,125,100,2024-11-22,1,229.29
549,107,85,2024-10-08,1,339.74
550,290,144,2025-06-07,1,183.68
551,254,72,2024-12-05,1,246.7
552,300,57,2024-09-11,1,349.1
553,92,141,2024-09-27,1,489.58
554,49,54,2024-11-12,1,349.2
555,499,87,2024-10-16,1,40.12
556,310,31,2025-04-24,1,211.87
557,494,128,2025-07-15,1,384.68
558,45,126,2025-05-26,1,217.72
559,278,107,2025-04-19,1,68.9
560,65,134,2025-04-20,1,524.84
561,161,81,2025-05-16,1,196.15
562,288,118,2025-02-19,1,319.7
563,292,59,2025-05-24,1,122.16
564,492,57,2025-03-05,1,349.1
565,212,55,2024-09-02,1,526.4
566,251,21,2025-03-30,1,199.22
567,444,67,2025-02-26,1,331.31
568,48,10,2025-02-10,1,394.66
569,219,68,2025-05-04,1,295.67
570,208,51,2025-01-26,1,383.07
571,259,108,2025-05-03,1,182.24
572,337,23,2024-11-23,1,113.32
573,224,59,2025-05-06,1,122.16
574,457,37,2024-12-05,2,226.59
575,4,100,2024-10-19,1,229.29
576,321,132,2024-09-27,1,208.38
577,385,150,2024-08-09,1,468.27
578,436,21,2024-09-04,1,199.22
579,107,26,2024-08-25,1,80.28
580,145,88,2024-11-28,1,288.97
581,50,60,2024-08-29,3,190.26
582,488,147,2024-12-27,3,363.91
583,436,113,2025-05-22,2,440.12
584,189,144,2025-01-12,1,183.68
585,446,140,2025-04-24,1,238.53
586,307,29,2025-01-01,1,58.54
587,164,31,2025-04-26,1,211.87
588,199,52,2025-03-02,1,225.66
589,10,77,2025-01-01,1,516.83
590,177,87,2025-05-03,1,40.12
591,134,69,2024-11-24,2,186.83
592,452,71,2025-07-29,1,320.91
593,199,30,2025-05-15,1,442.18
594,114,53,2024-10-08,1,487.84
595,437,125,2024-12-09,1,300.73
596,267,121,2025-06-28,1,538.87
597,276,26,2024-09-17,1,80.28
598,136,33,2024-11-06,1,121.24
599,119,127,2025-06-05,1,179.33
600,237,31,2024-09-07,1,211.87
601,129,73,2025-05-14,1,488.92
602,189,137,2024-11-15,1,63.66
603,487,78,2025-01-18,1,334.81
604,366,141,2024-08-08,1,489.58
605,148,21,2024-11-13,1,199.22
606,119,85,2024-12-01,1,339.74
607,179,42,2024-12-23,1,19.58
608,158,2,2025-01-05,1,18.99
609,209,70,2025-03-27,1,300.47
610,128,94,2025-02-06,1,512.02
611,55,82,2024-11-22,1,283.53
612,336,8,2024-08-09,1,62.79
613,138,121,2025-03-02,1,538.87
614,246,86,2024-11-09,1,118.49
615,424,110,2024-12-04,1,152.47
616,60,33,2025-01-20,1,121.24
617,198,11,2025-03-24,2,16.25
618,32,86,2025-01-28,1,118.49
619,483,14,2025-05-07,1,348.48
620,159,64,2025-07-09,1,312.23
621,290,125,2025-06-19,1,300.73
622,317,97,2025-07-29,1,24.03
623,199,9,2024-11-20,1,719.54
624,360,45,2025-02-08,1,53.21
625,371,123,2025-02-27,1,79.03
626,219,41,2024-10-31,1,189.78
627,368,18,2024-09-19,3,102.42
628,452,136,2024-12-02,1,82.14
629,156,69,2025-04-27,1,186.83
630,100,117,2025-01-29,1,524.45
631,463,125,2025-02-20,1,300.73
632,106,80,2024-12-03,2,189.8
633,413,78,2024-11-24,1,334.81
634,101,89,2024-09-17,1,211.17
635,227,144,2025-07-26,1,183.68
636,168,145,2024-08-22,2,96.4
637,488,13,2025-04-01,2,379.07
638,282,3,2024-12-22,1,217.96
639,250,50,2025-01-09,1,98.91
640,79,29,2024-11-15,1,58.54
641,238,17,2024-09-09,1,62.02
642,452,142,2025-05-16,2,274.55
643,468,54,2025-05-04,2,349.2
644,494,41,2025-01-25,1,189.78
645,142,61,2025-03-12,1,131.98
646,322,118,2024-09-08,1,319.7
647,167,2,2025-01-15,1,18.99
648,15,123,2024-12-18,1,79.03
649,419,59,2025-03-19,1,122.16
650,106,117,2025-02-09,1,524.45
651,230,123,2025-02-11,1,79.03
652,369,69,2025-06-13,1,186.83
653,167,6,2024-12-05,1,120.34
654,324,66,2024-09-12,1,198.33
655,208,77,2025-06-21,1,516.83
656,279,110,2025-02-16,2,152.47
657,499,10,2024-09-24,1,394.66
658,489,77,2025-01-05,1,516.83
659,469,67,2024-12-17,1,331.31
660,307,93,2024-09-14,1,575.84
661,148,60,2025-04-20,1,190.26
662,432,74,2024-08-14,1,488.38
663,76,3,2025-05-11,1,217.96
664,472,115,2025-02-14,1,281.46
665,457,84,2025-02-28,1,338.34
666,52,78,2024-12-03,1,334.81
667,181,83,2024-10-26,1,296.51
668,389,95,2025-01-02,1,61.73
669,23,60,2024-10-14,1,190.26
670,291,95,2025-03-11,2,61.73
671,118,109,2025-01-01,1,482.64
672,32,124,2024-09-09,2,209.47
673,4,22,2024-12-05,1,163.49
674,469,38,2024-11-09,1,455.18
675,212,107,2024-10-09,1,68.9
676,101,75,2025-02-19,1,137.49
677,417,80,2025-06-14,2,189.8
678,281,90,2025-01-16,1,456.59
679,338,14,2024-10-09,1,348.48
680,342,56,2024-11-11,1,443.42
681,161,32,2025-01-11,1,294.11
682,219,116,2025-01-14,1,105.33
683,161,76,2025-02-18,1,398.3
684,65,38,2025-05-16,1,455.18
685,383,89,2025-05-07,2,211.17
686,454,116,2025-05-09,1,105.33
687,45,13,2024-11-16,1,379.07
688,362,57,2024-12-28,3,349.1
689,259,150,2024-12-02,1,468.27
690,54,47,2025-02-10,1,87.46
691,227,22,2025-06-03,1,163.49
692,170,101,2024-09-13,1,15.78
693,457,141,2024-12-06,2,489.58
694,319,25,2025-01-29,1,485.62
695,155,7,2025-06-10,1,303.12
696,176,86,2025-03-09,1,118.49
697,344,123,2024-09-20,1,79.03
698,117,4,2025-05-22,1,510.73
699,471,28,2025-02-08,2,213.35
700,93,108,2025-04-14,1,182.24
701,147,24,2024-12-30,1,563.43
702,342,76,2024-09-13,1,398.3
703,362,92,2024-10-12,2,213.89
704,140,99,2025-01-23,1,208.73
705,208,115,2024-11-14,1,281.46
706,215,56,2025-01-26,1,443.42
707,293,130,2025-03-20,2,499.34
708,461,107,2025-01-01,1,68.9
709,484,71,2025-07-30,1,320.91
710,221,94,2024-12-03,2,512.02
711,105,44,2025-05-10,1,392.03
712,51,84,2025-05-14,1,338.34
713,111,1,2025-03-25,1,335.74
714,461,64,2024-11-04,1,312.23
715,446,62,2025-03-10,1,26.71
716,370,43,2025-02-16,1,418.43
717,424,128,2024-11-18,1,384.68
718,444,146,2025-05-02,1,343.96
719,10,42,2025-01-14,1,19.58
720,403,40,2024-09-28,1,480.83
721,70,112,2025-06-24,1,332.67
722,336,107,2025-05-28,1,68.9
723,157,125,2025-06-13,1,300.73
724,201,32,2024-12-31,1,294.11
725,215,68,2025-05-30,1,295.67
726,7,8,2024-10-08,1,62.79
727,383,40,2024-12-01,2,480.83
728,264,110,2024-11-02,1,152.47
729,216,150,2024-10-12,1,468.27
730,27,26,2025-05-22,1,80.28
731,272,92,2024-11-04,1,213.89
732,240,144,2024-10-28,1,183.68
733,479,101,2025-04-08,1,15.78
